ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"А40-12688/03-121-165","Титова А.В./ Рутто Д.Р.","01/01/03 00:00:00","Входящий","ФАУФИ","Правительство Москвы","Мосокмнаследие","Собственность РФ","о признании права собственности РФ и признании недействительным зарегистрированного права оперативного управ-я МКН",,,"Определением от 15.07.2008 производство по делу приостановлено до вступления в законную силу судебного акта по делу № А40-26861/02-79-162 (ППМ № 299-ПП). Кассация 10.11.2008: определение в силе. 06.10.11 производство по делу возобновлено.","Первая инстанция","11/15/11 00:00:00","15:40:00","в иске отказано","Отказ в Исковых требованиях","12/26/11 00:00:00",,,,"*",,,,,,,,,,140,3436
,,,,,,"А40-23301/06-149-165",,,,"ООО «РООСЫ»","Правительство Префектура ЦАО ДЗР г. Москвы","Мосокмнаследие","Иное...","о признании незаконным бездействия",,,,,,,,,,,,,"*",,,,,,,,,,142,3443
,,,,,,"А40-22847/04-7-298","Титова А.В.",,"Входящий","ДЗР г. Москвы","Ассоциация шахматных федераций","Мосокмнаследие,ФГУК ""АУПИК"", ДИгМ, ООО ""НТЦ Энергосистемы""","Расторгнуть","о расторжении договор аренды на земельный участок ",,,"возобновлено. Приостановлено. Определением от 06.11.2008 производство по делу возобновлено.",,"12/15/08 00:00:00","14:00:00","производство по делу прекращено, отказ от иска","Иное...","12/22/08 00:00:00",,,,"*",,,,,,,,,,143,3444
,,,,,,"09АП-9492/2006-ГК",,,,"ЗАО «Центробизнес»","ОАО «Авиационный научно-технический комплекс им. Туполева, ДЗР","Мосокмнаследие","Иное...","о признании недействительным договора аренды земельного участка от 20.11.97г. № 05/02/10067",,,,,,,,,,,,,"*",,,,,,,,,,144,3445
,,,,,,"А40-58093/06-89-452",,,,"ООО «Финэкономсервис»","ЗАО «Корпорация ДЭКС»","ФГУП «Центральный НИИ судостроительной промышленности «ЦЕНТР», МКН",,"о признании договора субаренды недействительным, выселении, об обязании выплатить в качестве компенсации 3.000.000 руб. убытков",,,,,,,,,,,,,"*",,,,,,,,,,147,3448
,,,,,,"А40-34636/06-64-258","Титова А.В.","01/01/06 00:00:00","Входящий","Международная ассоциация общественных объединений «Ассоциация шахматных федераций»","ООО «НТЦ Энергосистемы»","ДИгМ, ФГУК «АУИПИК», МКН ФАУФИ","Иное...","о признании права владения и  польз-ния помещениями и признании недействительной гос. регистрации прав аренды за «НТЦ Энергосистемы» ",,,"в иске отказано, подана апелляционная жалоба,22.11.2006 решение об отказе в иске оставлено без изменения, апелляционная жалоба без удовлетворения,подана кассационная жалоба. 27.03.2007 Решение отменить направить на новое рассмотрение. Апелляция.Кассация. Постановление апелляц. отменено, решение I инстанции в силе.Определение ВАС РФ от 16.03.09 о передаче дела в Президиум ВАС РФ. Постановлением ВАС от 26.05.2009 постановление ФАС отменено, постановление 9 ААС от 23.04.2008 в силе.",,"09/01/08 00:00:00","11:00:00","постановление от 23.04.2008 в силе, в иске отказано","Иное...","01/24/08 00:00:00",,,,"*`","Решение отменено.В иске отказано (23.04.08)","постановление отменено, иск удовлетворен (01.09.2008). Постановлением ВАС от 26.05.2009 постановление отменено, постановление 9ААС в силе.",,,,,,,,148,3437
,,,,,,"А40-32974/06-50-258","Титова А.В.",,"Входящий","Правительство РФ в лице Росимущества","Правительство Москвы, Мосокмнаследие, ДИгМ",,"Собственность РФ","о признании права собственности РФ, о признании недействительной государственной регистрации права собственности и права оперативного управления",,,"отложено на 09.10.2006, в иске отказано, подана апелляционная жалоба, 02.05.2007 Кассация вернула в апелляцию. Кассационная жалоба Москомнаследия. ВАС РФ в пересмотре в порядке надзора отказал.",,"09/20/07 00:00:00","17:30:00","Постановление апелляции в силе.","Собственность РФ",,,,,"*","Решение отменено, иск удовлетворен (02.08.2007)","Постановление апелляции в силе (27.09.2007)",,,,,,,,149,3437
,,,,,,"А40-70602/05-6-440","Спиридонов А.А.",,"Входящий","Международный союз общественных объединений «Международное сообщество писательских союзов»","ООО «Фирма Глория Макс»","ГУ ФРC","Иное...","о признании недействиттельным договора купли-продажи нежилых помещений и применении последствии его недействительности",,,"назначено на 09.10.2006,назначено на 22.11.2006, Решением Арбитражного суда в иске отказано,подана апелляционная жалоба, назначено на 29.01.2007 на 10.30, производство возобновлено.Апелляция. Кассация",,"04/16/08 00:00:00","14:00:00","Постановление в силе : решение отменить. Признать договор недействительным","Иное...","12/01/06 00:00:00",,,,"*","Решение отменить.Иск удовл. (29.10.07)","Постановление апелляции в силе (21.04.08)",,,,,,,,150,3439
,,,,,,"А40-57864/06-52-404","Рутто Д.Р.","01/01/06 00:00:00","Входящий","ДИгМ","РПОД «Христианский немецкий союз» СГУП по продаже имущества г. Москвы","Москомнаследие","Иное...","о признании недействительным договора купли-продажи нежилых помещений и применении последствии его недействительности",,,"назначено на 30.11.2006, Решением от 07.12.2006 иск удовлетворен, подана апелляционная жалоба. 05.04.2007 приостановлено в связи с назначением экспертизы. Возобновлено.Кассация 12.02.2010 определение об отмене обеспечительных мер.",,"08/19/08 00:00:00","11:00:00","решение в силе: иск удовлетворен","Иное...","12/07/06 00:00:00",,,,"*","решение в силе (05.06.2008)","решение в силе (26.08.08)",,,,,,,,151,3438
,,,,,,"А40-29065/06-11-212","Спиридонов А.А.","01/01/06 00:00:00","Входящий","ДОАО «Оргэнергогаз»","ООО «Газнефтеинжениринг»","Москомнаследие","Иное...","о признании недействительным соглашения о переуступки прав и обязанностей арендатора по договору и возврате имущества",,,"решение отказ в иске, подана апелляционная жалоба, назначено на 18.01.2007 в 10.45 -решение отменили, подана кассация. 03.05.2007 Кассация оставила решение в силе, апелляцию отменила.",,,,"Постановление ФААС отменить, решение оставить в силе","Иное...","05/03/07 00:00:00",,,,"*",,,,,,,,,,152,3440
