Наименование адресной единицы
"10-летия Октября улица"
"1812 Года улица"
"1905 Года улица"
"40 лет Октября проспект"
"50 лет Октября улица"
"60-летия Октября проспект"
"60-летия СССР площадь"
"8 Марта (пос. Липки) улица"
"8 Марта (пос. Внуково) улица"
"8 Марта (Косино-Ухтомский) улица"
"4-я улица 8 Марта "
"1-я улица 8 Марта "
"8 Марта улица"
"800-летия Москвы улица"
"800-летия Москвы переулок"
"9 Мая улица"
"Егора Абакумова улица"
"Абельмановская улица "
"Абельмановская Застава площадь"
"Абрамцевская улица "
"Абрамцевская просека "
"Абрикосовский переулок "
"Авангардная улица "
"Авиамоторная улица "
"Авиаторов улица"
"Авиационная улица "
"Авиационный переулок "
"Автозаводская улица "
"Автозаводская площадь "
"3-й Автозаводский проезд "
"1-й Автозаводский проезд "
"2-й Автозаводский проезд "
"Автомобильный проезд "
"Автомоторная улица "
"Саляма Адиля улица"
"Азовская улица "
"Айвазовского улица"
"Большая Академическая улица "
"Академический проезд "
"посёлок Акулово "
"Алабяна улица"
"Петра Алексеева улица"
"1-й переулок Петра Алексеева "
"2-й переулок Петра Алексеева "
"Алексинская улица "
"Алёшкинский проезд "
"Алма-Атинская улица "
"Алтайская улица "
"Алтуфьевское шоссе "
"Алымов переулок "
"Алымова улица "
"Сальвадора Альенде улица"
"Алябьева улица"
"Амбулаторный переулок "
"1-й Амбулаторный проезд "
"2-й Амбулаторный проезд "
"Аминьевское шоссе "
"Амундсена улица"
"Амурская улица "
"Амурский переулок "
"Анадырский проезд "
"Ананьевский переулок "
"Ангарская улица "
"Ангелов переулок "
"Павла Андреева улица"
"Андреево-Забелинская улица "
"Андреевская набережная"
"Андреевский мост "
"Андроновское шоссе "
"Большая Андроньевская улица "
"Малая Андроньевская улица "
"Андроньевская набережная "
"Андроньевская площадь "
"Андроньевский проезд "
"Андропова проспект"
"Анненская улица "
"Анненский проезд "
"Аносова улица"
"Академика Анохина улица"
"Генерала Антонова улица"
"Антонова-Овсеенко улица"
"Апакова проезд"
"Аптекарский переулок "
"Новый Арбат улица"
"Арбат улица"
"Арбатецкая улица "
"Арбатская площадь "
"Арбатские Ворота площадь"
"Арбатский переулок "
"Аргуновская улица "
"Аристарховский переулок "
"Армавирская улица "
"Инессы Арманд улица"
"Армянский переулок "
"Артамонова улица"
"Артековская улица "
"Артюхиной улица"
"Архангельский переулок "
"1-й Архивный переулок "
"Академика Арцимовича улица"
"Асеева улица"
"Астрадамская улица "
"Астрадамский проезд "
"Астраханский переулок "
"Атарбекова улица"
"Большой Афанасьевский переулок "
"Малый Афанасьевский переулок "
"Ащеулов переулок "
"Аэродромная улица "
"Аэропорта проезд"
"1-я Аэропортовская улица "
"Аэрофлотская улица "
"Маршала Бабаджаняна площадь"
"Бабаевская улица "
"Ивана Бабушкина улица"
"Лётчика Бабушкина улица"
"1-й Бабьегородский переулок "
"2-й Бабьегородский переулок "
"Маршала Баграмяна улица"
"Багратионовский проезд "
"Багрицкого улица"
"Баженова улица"
"Бажова улица"
"Базовая улица "
"Базовская улица "
"Байдукова улица"
"Байкальская улица "
"Бакинская улица "
"26-ти Бакинских Комиссаров улица"
"Академика Бакулева улица"
"Бакунинская улица "
"Балакиревский переулок "
"Балаклавский проспект "
"Большой Балканский переулок "
"Балтийская улица "
"1-й Балтийский переулок "
"2-й Балтийский переулок "
"3-й Балтийский переулок "
"Балчуг улица"
"Банковский переулок "
"Банный проезд "
"Банный переулок "
"Барабанный переулок "
"Барашёвский переулок "
"Барболина улица"
"Барвихинская улица "
"Бардина улица"
"Барклая улица"
"Баррикадная улица "
"Бартеневская улица "
"Барыковский переулок "
"Барышиха улица"
"Старая Басманная улица "
"Новая Басманная улица "
"Басманный тупик "
"Басманный переулок "
"1-й Басманный переулок "
"Басовская улица "
"Батайская улица "
"Батайский проезд "
"Батюнинская улица "
"городок имени Баумана "
"2-я Бауманская улица "
"Бауманская улица "
"Бахрушина улица"
"Новая Башиловка улица"
"Башиловская улица "
"3-я улица Бебеля "
"1-я улица Бебеля "
"2-я улица Бебеля "
"Бегичева улица"
"Беговая улица "
"Беговая аллея "
"Беговой проезд "
"Демьяна Бедного улица"
"Безымянный проезд "
"Белгородский проезд "
"Беленовский проезд "
"Генерала Белобородова улица"
"Генерала Белова улица"
"Беловежская улица "
"1-я Белогорская улица "
"2-я Белогорская улица "
"Белозерская улица "
"Белокаменное шоссе "
"2-й Белокаменный проезд "
"1-й Белокаменный проезд "
"Беломорская улица "
"Белореченская улица "
"Белякова улица"
"Береговая улица "
"Береговой проезд "
"Бережковская набережная "
"Берёзовая аллея "
"Берёзовая аллея (г. Зеленоград)"
"Берёзовой Рощи проезд"
"Берзарина улица"
"Берингов проезд "
"Новый Берингов проезд "
"Берников переулок "
"Берниковская набережная "
"Берсеневская набережная "
"Бескудниковский проезд "
"Бескудниковский бульвар "
"Бескудниковский переулок "
"Бестужевых улица"
"Бехтерева улица"
"Бибиревская улица "
"Библиотечная улица "
"Библиотечный проезд "
"Биржевая площадь "
"Маршала Бирюзова улица"
"Бирюлёвская улица "
"Бирюсинка улица"
"Битцевская аллея "
"Благовещенский переулок "
"Благуша улица"
"Бобров переулок "
"Бобруйская улица "
"3-я Богатырская улица "
"2-й Богатырский переулок "
"Богатырский Мост улица"
"Богданова улица"
"Богородский Вал улица"
"Богородское шоссе "
"Богословский переулок "
"Богоявленский переулок "
"Богучарская улица "
"1-й Богучарский переулок "
"2-й Богучарский переулок "
"1-я Боевская улица "
"2-я Боевская улица "
"Боенский проезд "
"Малый Боженинский переулок "
"Боженко улица"
"Бойцовая улица "
"Болотная улица "
"Болотная набережная "
"Болотная площадь "
"Болотниковская улица "
"Больничный переулок "
"Большая улица "
"аллея Большого Круга "
"Борисовская улица "
"Борисовские Пруды улица"
"Борисовский проезд "
"Борисоглебский переулок "
"Боровая улица "
"Боровицкая площадь "
"Боровский проезд "
"Боровское шоссе "
"1-я Бородинская улица "
"2-я Бородинская улица "
"Борьбы площадь"
"Малая Ботаническая улица "
"Ботаническая улица "
"1-й Ботанический проезд "
"2-й Ботанический проезд "
"Ботанический переулок "
"1-й Боткинский проезд "
"2-й Боткинский проезд "
"Василия Ботылева улица"
"Академика Бочвара улица"
"Бочкова улица"
"Боярский переулок "
"Братеевская улица "
"Братиславская улица "
"Братская улица "
"Братцевская улица "
"1-я Брестская улица "
"2-я Брестская улица "
"Бригадирский переулок "
"Бродников переулок "
"Большая Бронная улица "
"Малая Бронная улица "
"Бронницкая улица "
"Бронницкий переулок "
"Брошевский переулок "
"Брюллова улица"
"Брюсов переулок "
"Брянская улица "
"1-й Брянский переулок "
"2-й Брянский переулок "
"Брянский Пост улица"
"Будайская улица "
"Будайский проезд "
"Екатерины Будановой улица"
"Будённого проспект"
"Буженинова улица "
"Булатниковская улица "
"Булатниковский проезд "
"Бумажная просека "
"Бумажный проезд "
"Бунинская Аллея улица"
"Буракова улица "
"Бурденко улица"
"Бурцевская улица "
"Бусиновская Горка улица"
"Бутиковский переулок "
