id;Краткое название;Полное наименование;Бренд;Электронная почта;Телефон;Факс;ОКВЭД;Бик;ИМНС;КПП;ОКПО;р/счет;кор/счет;ОГРН;ОГРН: Кто выдал;ОГРН: Номер;ОГРН: Дата;ОГРН: Адрес;ИНН;ИНН: Дата получения;ИНН: Место получения;Банк;ОКОПФ;Форма собственности;Отрасль
3E84C8D6-6669-E811-80B9-005056807186;"ГБУЗ ""ЭНДОКРИНОЛОГИЧЕСКИЙ ДИСПАНСЕР ДЗМ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ЭНДОКРИНОЛОГИЧЕСКИЙ ДИСПАНСЕР ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";NULL;anna_OMK@mail.ru;NULL;(499) 245-33-76;NULL;NULL;7704;770401001;NULL;NULL;NULL;1027739579317;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7704029538;1995-01-23 21:00:00.000;Инспекция Федеральной налоговой службы № 4 по г.Москве;NULL;NULL;NULL;другая
D74215BD-AB5D-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;1067746569076;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724576730;2008-07-13 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;NULL;NULL;другая
56158D5C-B8EA-E211-81E2-005056807186;ФГУП Аптека КБ №83 ФМБА России;"Федеральное государственное унитарное предприятие ""Аптека Клинической больницы №83"" Федерального медико-биологического агентства";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1027700438810;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724030595;2013-06-05 20:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
061AEC26-A95D-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;1067746569076;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724576730;2008-07-13 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;NULL;NULL;другая
DD8FDEC0-9D59-E811-80B9-005056807186;"ООО ""ПИРИТ-99""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИРИТ-99""";NULL;pirit99@mail.ru;NULL;NULL;NULL;NULL;7701;770101001;NULL;NULL;NULL;1037739025081;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7701207623;2004-11-04 21:00:00.000;Инспекция Федеральной налоговой службы № 1 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
3E444704-E258-E811-80B9-005056807186;"Общество с ограниченной ответственностью ""СпектрумСтройСервис""";"Общество с ограниченной ответственностью ""СпектрумСтройСервис""";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7708220415;NULL;NULL;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
E744DE68-40C3-E511-81EF-005056807186;РАН;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКАЯ АКАДЕМИЯ НАУК""";NULL;6610599@gmail.com;NULL;NULL;NULL;NULL;7725;772501001;NULL;NULL;NULL;1027739820393;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725092435;2003-10-09 21:00:00.000;Инспекция Федеральной налоговой службы № 25 по г.Москве;NULL;NULL;NULL;другая
75D6F016-655B-E411-818D-005056807186;ФКУ УОДОП ФСИН России;"федеральное казенное учреждение ""Управление по обеспечению деятельности оперативных подразделений Федеральной службы исполнения наказаний""";NULL;NULL;NULL;NULL;NULL;NULL;7706;770601001;NULL;NULL;NULL;1057748249503;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7706592947;2005-09-15 20:00:00.000;Инспекция Федеральной налоговой службы № 6 по г. Москве;NULL;NULL;NULL;другая
0462E1AA-C173-E811-80B9-005056807186;"ООО ""ЛОТОС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТОС""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1057748989990;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7709643117;2005-11-08 21:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
F274021D-AF73-E811-80B9-005056807186;"ООО ""МАКС-МАРА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКС-МАРА""";NULL;NULL;NULL;NULL;NULL;NULL;7718;771801001;NULL;NULL;NULL;1037739717091;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7715190641;2004-05-13 22:00:00.000;Инспекция Федеральной налоговой службы № 18 по г.Москве;NULL;NULL;NULL;другая
